"","copy_col","reviewer","title","flat_title","first_release_year","all_release_year","platform","flat_platform","uv_index","uv_title","uv_raw_title","uv_first_release_year","uv_publisher","uv_developer","uv_platform","gb_index","gb_title","gb_raw_title","gb_first_release_year","gb_platform","is_duplicate","is_sampled","target_platform"
"1","Nim----1947----PLATO","Brian","Nim","nim",1947,"1947----1983----1984----1989----2004","Atom----DEC PDP-1----MicroBee----MS-DOS----OS/2----PC----PLATO----VG5000µ----VIC-20----ZX 81----ZX Spectrum","atom----dec pdp-1----microbee----ms-dos----os/2----pc----plato----vg5000µ----vic-20----zx 81----zx spectrum",42714,"nim","nim----Nim----NIM----NIM (NIMROD)",1947,"author----Cascade Games----E. Witt----Ferranti----Honeysoft----U.T.S.----University of Illinois----Vic-Soft----VIFI Nathan","Computer Room Systems----Ferranti","Atom----DEC PDP-1----MicroBee----MS-DOS----OS/2----PLATO----VG5000µ----VIC-20----ZX 81----ZX Spectrum",27379,"Nim","Nim",2004,"PC",FALSE,TRUE,"PLATO"
"2","OXO----1952----Linux/Unix","Kameron","OXO","oxo",1952,"1952----1990----2002","Amstrad CPC----BeOS----EDSAC----Linux/Unix","amstrad cpc----beos----edsac----linux/unix",44356,"Oxo","Oxo----OXO----OXO (Noughts and Crosses)",1952,"Cambridge University----Dino / Scull PD----University of Warwick","University of Warwick","Amstrad CPC----BeOS----EDSAC----Linux/Unix",28326,"OXO","OXO",1952,NA,FALSE,TRUE,"Linux/Unix"
"3","Tennis for Two----1958----Arcade","Kate","Tennis for Two","tennis for 2",1958,"1958----2005","Arcade----Windows","arcade----windows",60851,"Tennis for Two","Tennis for Two",1958,"The Gamer\'s Quarter----USA Federal Government","Brookhaven National Laboratory","Arcade----Windows",39200,"Tennis for Two","Tennis for Two",1958,NA,FALSE,TRUE,"Arcade"
"4","Mouse in the Maze----1959----PC","Sam","Mouse in the Maze","mouse in the maze",1959,"1959","PC","pc",NA,NA,NA,NA,NA,NA,NA,25849,"Mouse in the Maze","Mouse in the Maze",1959,"PC",FALSE,TRUE,"PC"
"5","Spacewar!----1962----DEC PDP-1","Brian","Spacewar!","spacewar!",1962,"1962","DEC PDP-1","dec pdp-1",56331,"Spacewar!","Spacewar!",1962,"Massachussetts Institute of Technology","Massachussetts Institute of Technology","DEC PDP-1",36133,"Spacewar!","Spacewar!",1962,NA,FALSE,TRUE,"DEC PDP-1"
"6","Duck Hunt----1969----ARC","Kameron","Duck Hunt","duck hunt",1969,"1969----1984----1986----2004","ARC----Arcade----Mac----MSX----NES----WIIU","arc----arcade----mac----msx----nes----wiiu",19176,"Duck Hunt","Duck Hunt----Duck Hunt (<U+30C0><U+30C3><U+30AF><U+30CF><U+30F3><U+30C8>)",1984,"Karoshi Corporation----Nintendo----Nordic Software","Intelligent Systems----Nordic Software","Arcade----Mac----MSX----NES",12261,"Duck Hunt","Duck Hunt",1969,"ARC----MSX----NES----WIIU",FALSE,TRUE,"ARC"
"7","Space Travel----1969----Linux/Unix","Kate","Space Travel","space travel",1969,"1969","Linux/Unix","linux/unix",56241,"Space Travel","Space Travel",1969,"AT&T",NA,"Linux/Unix",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"8","Civilization----1971----PS1","Sam","Civilization","civilization",1971,"1971----1991----1992----1993----1994----1996----2006","Amiga----Amiga AGA----Atari Falcon----Atari ST----DEC PDP-1----Linux/Unix----Mac----MS-DOS----N-Gage----PC-9801----PS1----SNES----Win3.1","amiga----amiga aga----atari falcon----atari st----dec pdp-1----linux/unix----mac----ms-dos----n-gage----pc-9801----ps1----snes----win3.1",12649,"Civilization","Civilization----Civilization (<U+30B7><U+30F4><U+30A3><U+30E9><U+30A4><U+30BC><U+30FC><U+30B7><U+30E7><U+30F3>)----Civilization (Empire)----Civilization (Sid Meier's Civilization)",1971,"Asmik----Atari----Harvard University----Microprose----Microprose Japan----MPS----Software Demon----VEX","Gryphondale Studios----Harvard University----Microprose----MPS Labs","Amiga----Amiga AGA----Atari Falcon----Atari ST----DEC PDP-1----Linux/Unix----Mac----MS-DOS----N-Gage----PC-9801----PS1----SNES----Win3.1",NA,NA,NA,NA,NA,FALSE,TRUE,"PS1"
"9","Computer Space----1971----Arcade","Brian","Computer Space","computer space",1971,"1971----1981","Apple IIe----ARC----Arcade","apple iie----arc----arcade",13507,"Computer Space","Computer Space",1971,"Nutting Associates----Softside",NA,"Apple IIe----Arcade",8388,"Computer Space","Computer Space",1971,"ARC",FALSE,TRUE,"Arcade"
"10","Galaxy Game----1971----Arcade","Kameron","Galaxy Game","galaxy game",1971,"1971","ARC----Arcade","arc----arcade",24456,"Galaxy Game","Galaxy Game",1971,"Computer Recreations","Computer Recreations","Arcade",15744,"Galaxy Game","Galaxy Game",1971,"ARC",FALSE,TRUE,"Arcade"
"11","Star-Trek----1971----Altair","Kate","Star-Trek","star-trek",1971,"1971----1981----1982----1983----1985----1986----1988----1989----1991----1996----1997----2002----2009----2013","6001----Altair----Amiga----Amstrad CPC----Apple IIe----ARC----Arcade----Archimedes----Atom----C128----C16/Plus4----C64----DEC PDP-1----FM7----Game & Watch----Game Boy----iOS----Linux/Unix----Mac----MSX----NES----PC88----PC98----R-Zone----Thomson----VIC-20----Windows----X1----ZX 81----ZX Spectrum","6001----altair----amiga----amstrad cpc----apple iie----arc----arcade----archimedes----atom----c128----c16/plus4----c64----dec pdp-1----fm7----game & watch----game boy----ios----linux/unix----mac----msx----nes----pc88----pc98----r-zone----thomson----vic-20----windows----x1----zx 81----zx spectrum",57150,"Star-Trek----Star Trek----Startrek","Star-Trek (Star Trek;Startrek)",1983,"Cascade Games",NA,"VIC-20",36766,"Star Trek","Star Trek",1981,"6001----ARC----FM7----MSX----PC88----PC98----X1",FALSE,TRUE,"Altair"
"12","Alto Trek----1972----DEC PDP-1","Sam","Alto Trek","alto trek",1972,"1972","DEC PDP-1","dec pdp-1",3382,"Alto Trek","Alto Trek",1972,NA,"Xerox","DEC PDP-1",NA,NA,NA,NA,NA,FALSE,TRUE,"DEC PDP-1"
"13","Analogic----1972----ODY","Brian","Analogic","analogic",1972,"1972","ODY----Odyssey","ody----odyssey",3676,"Analogic","Analogic",1972,"Magnavox",NA,"Odyssey",2346,"Analogic","Analogic",1972,"ODY",FALSE,TRUE,"ODY"
"14","Baseball----1972----Amstrad CPC","Kameron","Baseball","baseball",1972,"1972----1977----1978----1979----1980----1982----1983----1984----1986----1987----1989----1990----2004","3DSE----A2K1----Amstrad CPC----APF----Apple IIe----Arcade----Arcadia 2001----Atari 8-bit----CASV----Famicom Disk System----FDS----Game Boy----Game Gear----GB----GBA----INTV----MicroBee----Microvision----MS-DOS----MVIS----NES----ODY----Odyssey----Odyssey²----RCA Studio II----RCA2----Sord M5----WSHP----XAVX----ZX Spectrum","3dse----a2k1----amstrad cpc----apf----apple iie----arcade----arcadia 2001----atari 8-bit----casv----famicom disk system----fds----game boy----game gear----gb----gba----intv----microbee----microvision----ms-dos----mvis----nes----ody----odyssey----odyssey²----rca studio ii----rca2----sord m5----wshp----xavx----zx spectrum",6543,"Baseball","Baseball----Baseball (<U+30D9><U+30FC><U+30B9><U+30DC><U+30FC><U+30EB>)----Baseball (Videopac 08;Baseball!;Basebol!;Beesubooru)",1972,"Activision----APF Electronics----Eric Newhouse----InHome Software----Magnavox----Marco V.----Milton Bradley----Nintendo----Philips----Radiola----RCA----Russell J. Yuma----Softside","Intelligent Systems----Magnavox----Milton Bradley----Nintendo----RCA","Amstrad CPC----APF----Apple IIe----Arcade----Arcadia 2001----Atari 8-bit----Famicom Disk System----Game Boy----Game Gear----MicroBee----Microvision----MS-DOS----NES----Odyssey----Odyssey²----RCA Studio II----Sord M5----ZX Spectrum",4091,"Baseball","Baseball",1972,"3DSE----A2K1----CASV----FDS----GB----GBA----INTV----MVIS----NES----ODY----RCA2----WSHP----XAVX",FALSE,TRUE,"Amstrad CPC"
"15","Basketball----1972----ZX Spectrum","Kate","Basketball","basketball",1972,"1972----1974----1978----1979----1981----1982----1983----1989","2600----A800----Amiga----ARC----Arcade----Arcadia 2001----Atari 2600----Atari 5200----Atari 8-bit----INTV----Odyssey----PC----TRS-80----XBGS----ZX Spectrum","2600----a800----amiga----arc----arcade----arcadia 2001----atari 2600----atari 5200----atari 8-bit----intv----odyssey----pc----trs-80----xbgs----zx spectrum",6601,"Basketball","Basketball----Basketball (@Basketball)----Basketball (Atari Basketball)",1972,"Acorn----Atari----Cascade Games----Magnavox----Mindscape----Sears","Atari----Magnavox----Omni-Play","Amiga----Arcade----Arcadia 2001----Atari 2600----Atari 5200----Atari 8-bit----Odyssey----TRS-80----ZX Spectrum",4136,"Basketball","Basketball",1974,"2600----A800----ARC----INTV----PC----XBGS",FALSE,TRUE,"ZX Spectrum"
"16","Brain Wave----1972----Odyssey","Sam","Brain Wave","brain wave",1972,"1972----1990","C64----Odyssey","c64----odyssey",9504,"Brain Wave","Brain Wave----Brainwave",1972,"Magnavox----Paladin",NA,"C64----Odyssey",NA,NA,NA,NA,NA,FALSE,TRUE,"Odyssey"
"17","Cat and Mouse----1972----Arcade","Brian","Cat and Mouse","cat and mouse",1972,"1972","Arcade----C64----Odyssey","arcade----c64----odyssey",11400,"Cat and Mouse","Cat & Mouse----Cat and Mouse----Cat And Mouse",1972,"Magnavox----Zaccaria",NA,"Arcade----C64----Odyssey",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"18","Dog-Fight----1972----Atari ST","Kameron","Dog-Fight","dog-fight",1972,"1972----1980----1983----1984----1993----1994","Amstrad CPC----Apple IIe----Arcade----Atari ST----Atom----BBC----MS-DOS----Odyssey----PLATO----ZX Spectrum","amstrad cpc----apple iie----arcade----atari st----atom----bbc----ms-dos----odyssey----plato----zx spectrum",17849,"Dog-Fight","Dog-Fight (Acrobatic Dog-Fight;Batten Ohara no Sucharaka Kuuchuusen)----Dog Fight----Dogfight----Dogfight (Air Duel)",1972,"Acornsoft----Magnavox----Micro Lab----Micro Power----Microprose----MicroProse----Slogger Software----Technos----Thunderbolt----University of Illinois","Technos","Amstrad CPC----Apple IIe----Arcade----Atari ST----Atom----BBC----MS-DOS----Odyssey----PLATO----ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"Atari ST"
"19","Football----1972----TI99","Kate","Football","football",1972,"1972----1978----1979----1983----1984----1985----1986","Apple IIe----Astrocade----Atari 2600----Atari ST----C64----DEC PDP-1----MS-DOS----MSX----Odyssey----Thomson----TI99----VG5000µ","apple iie----astrocade----atari 2600----atari st----c64----dec pdp-1----ms-dos----msx----odyssey----thomson----ti99----vg5000µ",23210,"Football","Football----Football (Big 8 Football)",1972,"Atari----author----Bally/Midway----Hatier----International PC Owners----Magnavox----Nice Ideas----Philips----Sears----Sirius Software----Sophia Antipolis----subLOGIC----Texas Instruments","Atari----Nice Ideas","Apple IIe----Astrocade----Atari 2600----Atari ST----C64----DEC PDP-1----MS-DOS----MSX----Odyssey----Thomson----TI99----VG5000µ",NA,NA,NA,NA,NA,FALSE,TRUE,"TI99"
"20","Fun Zoo----1972----Odyssey","Sam","Fun Zoo","fun zoo",1972,"1972","Odyssey","odyssey",23987,"Fun Zoo","Fun Zoo",1972,"Magnavox",NA,"Odyssey",NA,NA,NA,NA,NA,FALSE,TRUE,"Odyssey"
"21","Hamurabi----1972----IPHN","Brian","Hamurabi","hamurabi",1972,"1972----1979","C64----CBM----DEC PDP-1----IPHN----PC----PET----TRS8","c64----cbm----dec pdp-1----iphn----pc----pet----trs8",27311,"Hamurabi","Hamurabi----Hamurabi (Hamurabi von Babylon)----Hamurabi (The Sumer Game)",1979,"Creative Computing",NA,"C64----DEC PDP-1----PET",17575,"Hamurabi","Hamurabi",1972,"C64----CBM----IPHN----PC----TRS8",FALSE,TRUE,"IPHN"
"22","Handball----1972----Odyssey","Kameron","Handball","handball",1972,"1972","Odyssey","odyssey",27364,"Handball","Handball",1972,"Magnavox","Magnavox","Odyssey",NA,NA,NA,NA,NA,FALSE,TRUE,"Odyssey"
"23","Haunted House----1972----IPAD","Kate","Haunted House","haunted house",1972,"1972----1981----1982----1983----1987----1988----2010----2014","2600----Amstrad CPC----Atari 2600----Atari ST----C64----IPAD----IPHN----MSX----ODY----Odyssey----PC----TRS-80----Wii----Windows----WSHP----XBGS----ZX Spectrum","2600----amstrad cpc----atari 2600----atari st----c64----ipad----iphn----msx----ody----odyssey----pc----trs-80----wii----windows----wshp----xbgs----zx spectrum",27767,"Haunted House","Haunted House----Haunted House (Graves Manor / Nightmare Manor)----Haunted House (haunt)",1972,"Alligata----Atari----Eurosoft----Incentive----Magnavox----Peterson Computer Services","ImagineEngline----Peterson Computer Services","Amstrad CPC----Atari 2600----Atari ST----C64----MSX----Odyssey----TRS-80----Wii----Windows----ZX Spectrum",17858,"Haunted House","Haunted House",1972,"2600----IPAD----IPHN----ODY----PC----Wii----WSHP----XBGS",FALSE,TRUE,"IPAD"
"24","Hockey----1972----PC","Sam","Hockey","hockey",1972,"1972----1976----1979----1982----1987----1992","Amiga----Amstrad CPC----Atari 8-bit----CHANF----Fairchild Ch. F----INTV----Lynx----Odyssey----PC----XBGS","amiga----amstrad cpc----atari 8-bit----chanf----fairchild ch. f----intv----lynx----odyssey----pc----xbgs",28699,"Hockey","Hockey----Hockey (Fußball)",1972,"Atari----author----Fairchild Camera and Instrument----Gamma Software----Indescomp----Magnavox","Alpine Studios","Amiga----Amstrad CPC----Atari 8-bit----Fairchild Ch. F----Lynx----Odyssey",18493,"Hockey","Hockey",1979,"CHANF----INTV----PC----XBGS",FALSE,TRUE,"PC"
"25","Hunt the Wumpus----1972----TI99","Brian","Hunt the Wumpus","hunt the wumpus",1972,"1972----1980----1983----2010","Android----Atari 2600----Atom----DEC PDP-1----HP-41----Linux/Unix----TI99","android----atari 2600----atom----dec pdp-1----hp-41----linux/unix----ti99",29334,"Hunt the Wumpus","Hunt the Wumpus----Hunt The Wumpus----HUNT THE WUMPUS (com.kyubifox.wumpus)",1972,"asdfasdfasdf----author----Dream Codex----Texas Instruments","asdfasdfasdf----Dream Codex","Android----Atari 2600----Atom----DEC PDP-1----HP-41----Linux/Unix----TI99",18922,"Hunt the Wumpus","Hunt the Wumpus",1972,"TI99",FALSE,TRUE,"TI99"
"26","Interplanetary Voyage----1972----Odyssey","Kameron","Interplanetary Voyage","interplanetary voyage",1972,"1972","Odyssey","odyssey",30346,"Interplanetary Voyage","Interplanetary Voyage",1972,"Magnavox",NA,"Odyssey",NA,NA,NA,NA,NA,FALSE,TRUE,"Odyssey"
"27","Invasion----1972----SPEC","Kate","Invasion","invasion",1972,"1972----1982----1983----1987----1999----2004","A800----Amstrad CPC----Atari 8-bit----C64----Colour Genie----CPC----Linux/Unix----MSX----Odyssey----Oric----PS1----SPEC----Xbox----ZX Spectrum","a800----amstrad cpc----atari 8-bit----c64----colour genie----cpc----linux/unix----msx----odyssey----oric----ps1----spec----xbox----zx spectrum",30429,"Invasion","Invasion----Invasion (Envahisseurs)",1972,"ASN Diffusion----Bulldog Software----Magnavox----Mastertronic----Microïds----Trommeschlaeger Computer GmbH","Harald Boegeholz----Icon Design----Kylotonn","Amstrad CPC----Atari 8-bit----C64----Colour Genie----Linux/Unix----MSX----Odyssey----Oric----PS1----Xbox----ZX Spectrum",19684,"Invasion","Invasion",NA,"A800----C64----CPC----PS1----SPEC",FALSE,TRUE,"SPEC"
"28","Percepts----1972----Odyssey","Sam","Percepts","percepts",1972,"1972","Odyssey","odyssey",45417,"Percepts","Percepts",1972,"Magnavox",NA,"Odyssey",NA,NA,NA,NA,NA,FALSE,TRUE,"Odyssey"
"29","Pong----1972----EDSAC","Brian","Pong","pong",1972,"1972----1975----1992----1999----2003----2015","Amiga----Apple IIe----ARC----Arcade----Atari 8-bit----Chip 8----DEC PDP-1----DVD player----EDSAC----Linux/Unix----PS1----Windows","amiga----apple iie----arc----arcade----atari 8-bit----chip 8----dec pdp-1----dvd player----edsac----linux/unix----ps1----windows",46922,"Pong","Pong----PONG----Pong (<U+30DD><U+30F3>)----Pong (Pong: The Next Level)",1972,"Analog----Antic----Apple Computer----Atari----author----Cambridge University----Cinematronics----Hasbro Interactive----Infogrames----Media Verlag----xojoc","Atari----author----Supersonic Software----xojoc","Amiga----Apple IIe----Arcade----Atari 8-bit----Chip 8----DEC PDP-1----DVD player----EDSAC----Linux/Unix----PS1----Windows",29899,"Pong","Pong",1972,"ARC",FALSE,TRUE,"EDSAC"
"30","Prehistoric Safari----1972----Odyssey","Kameron","Prehistoric Safari","prehistoric safari",1972,"1972","Odyssey","odyssey",47359,"Prehistoric Safari","Prehistoric Safari",1972,"Magnavox",NA,"Odyssey",NA,NA,NA,NA,NA,FALSE,TRUE,"Odyssey"
"31","Roulette----1972----Odyssey","Kate","Roulette","roulette",1972,"1972----1979----1982----1983----1984----1985----1987----1988----1990----1991----1996","Amstrad CPC----Apple IIe----Atari ST----C64----FM7----HP-41----Mac----MS-DOS----ODY----Odyssey----OS/2----ZX Spectrum","amstrad cpc----apple iie----atari st----c64----fm7----hp-41----mac----ms-dos----ody----odyssey----os/2----zx spectrum",51354,"Roulette","Roulette----Roulette (<U+30EB><U+30FC><U+30EC><U+30C3><U+30C8>)----Roulette (Entertaiment Pack)",1972,"author----CA-Verlag----CWA----Input 64----Magnavox----Markt & Technik----Micromega----Robert Dew----Roeske Verlag----Softape----Stefan Freise----Usui Pasokon Center",NA,"Amstrad CPC----Apple IIe----Atari ST----C64----FM7----HP-41----Mac----MS-DOS----Odyssey----OS/2----ZX Spectrum",32812,"Roulette","Roulette",1972,"ODY",FALSE,TRUE,"Odyssey"
"32","Shoot-Out----1972----ARC","Sam","Shoot-Out","shoot-out",1972,"1972----1980----1985----1988","Amstrad CPC----Apple IIe----ARC----Arcade----Atom----C64----Odyssey----ZX Spectrum","amstrad cpc----apple iie----arc----arcade----atom----c64----odyssey----zx spectrum",53942,"Shoot-Out","Shoot-Out----Shoot out----Shoot Out----Shootout----Shootout (Shoot Out)",1972,"CPC International----Data East----Magnavox----Martech----Softside",NA,"Amstrad CPC----Apple IIe----Arcade----Atom----C64----Odyssey----ZX Spectrum",34581,"Shootout","Shootout",1985,"ARC",FALSE,TRUE,"ARC"
"33","Shooting Gallery----1972----MS-DOS","Brian","Shooting Gallery","shooting gallery",1972,"1972----1981----1984----1985----1987----1990----1991","Arcade----C64----Intellivision----MS-DOS----ODY----Odyssey----PC----SMS----Tandy","arcade----c64----intellivision----ms-dos----ody----odyssey----pc----sms----tandy",53965,"Shooting Gallery","Shooting Gallery",1972,"author----Courbois Software----Datasoft----Magnavox----Mattel----Sega----Tandy----Zaccaria",NA,"Arcade----C64----Intellivision----MS-DOS----Odyssey----SMS----Tandy",34574,"Shooting Gallery","Shooting Gallery",1972,"ODY----PC----SMS",FALSE,TRUE,"MS-DOS"
"34","Simon Says----1972----ODY","Kameron","Simon Says","simon says",1972,"1972","ODY----Odyssey","ody----odyssey",54319,"Simon Says","Simon Says",1972,"Magnavox",NA,"Odyssey",34849,"Simon Says","Simon Says",1972,"ODY",FALSE,TRUE,"ODY"
"35","Ski----1972----Linux/Unix","Kate","Ski","ski",1972,"1972----1983----2003","C64----Linux/Unix----Odyssey----PET----VIC-20","c64----linux/unix----odyssey----pet----vic-20",54700,"Ski","Ski----Ski (?)",1972,"author----Commodore----Courbois Software----Magnavox","author","C64----Linux/Unix----Odyssey----PET----VIC-20",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"36","Soccer----1972----ARC","Sam","Soccer","soccer",1972,"1972----1973----1982----1983----1985----1986----2002","ARC----Arcadia 2001----Atari 8-bit----Atom----Creativision----Famicom Disk System----FDS----Game & Watch----Game Master----NES----Odyssey----Sharp MZ-700----VIC-20----WIIU----WSHP----X68000","arc----arcadia 2001----atari 8-bit----atom----creativision----famicom disk system----fds----game & watch----game master----nes----odyssey----sharp mz-700----vic-20----wiiu----wshp----x68000",55352,"Soccer","Soccer----Soccer (<U+30B5><U+30C3><U+30AB><U+30FC>)----Soccer (Football)----Soccer (Fuss-Ball)----Soccer (Mini Classic)",1972,"Cascade Games----Magnavox----Nintendo----Thorn EMI----VTech","Intelligent Systems","Arcadia 2001----Atari 8-bit----Atom----Creativision----Famicom Disk System----Game & Watch----Game Master----NES----Odyssey----Sharp MZ-700----VIC-20----X68000",35505,"Soccer","Soccer",1973,"ARC----FDS----NES----WIIU----WSHP",FALSE,TRUE,"ARC"
"37","States----1972----ODY","Brian","States","states",1972,"1972","ODY----Odyssey","ody----odyssey",57706,"States","States",1972,"Magnavox",NA,"Odyssey",37066,"States","States",1972,"ODY",FALSE,TRUE,"ODY"
"38","Submarine----1972----Supervision 8000","Kameron","Submarine","submarine",1972,"1972----1979----1980----1983----1985----1986","Amstrad CPC----Arcade----C128----C64----ODY----Odyssey----Supervision 8000----VG5000µ----ZX Spectrum","amstrad cpc----arcade----c128----c64----ody----odyssey----supervision 8000----vg5000µ----zx spectrum",58404,"Submarine","Submarine----Submarine (Polaris)----Submarine (Sub-Marine)----Submarine (Submarine Battle Program)",1972,"Bally/Midway----Magnavox----Robtek----Romik----Sigma Enterprises----Wicked Software",NA,"Amstrad CPC----Arcade----C128----C64----Odyssey----Supervision 8000----VG5000µ----ZX Spectrum",37499,"Submarine","Submarine",1972,"ODY",FALSE,TRUE,"Supervision 8000"
"39","Table Tennis----1972----X360","Kate","Table Tennis","table tennis",1972,"1972----2006----2007","ODY----Odyssey----Wii----X360","ody----odyssey----wii----x360",59975,"Table Tennis","Table Tennis----Table Tennis (Rockstar Table Tennis)",1972,"Magnavox----Rockstar Games","Rockstar San Diego","Odyssey----Wii----X360",38600,"Table Tennis","Table Tennis",1972,"ODY",FALSE,TRUE,"X360"
"40","Tennis----1972----BK11M","Sam","Tennis","tennis",1972,"1972----1976----1980----1981----1982----1983----1984----1985----1986----1987----1988----1989----1990----1992----2000----2004","2600----3DSE----Amstrad CPC----Apple IIe----Arcade----Atari 2600----Atari 8-bit----BBC----BK11M----C64----CHANF----Creativision----DEC PDP-1----Electron----EXL 100----Fairchild Ch. F----Famicom Disk System----FDS----Game Boy----Game Master----GB----GBA----HGM----Intellivision----INTV----MS-DOS----NES----Odyssey----PC----PC-6001----PC88----PS1----QL----Sharp MZ-700----TRS-80----WIIU----WSHP----X1----XAVX----XBGS----ZX Spectrum","2600----3dse----amstrad cpc----apple iie----arcade----atari 2600----atari 8-bit----bbc----bk11m----c64----chanf----creativision----dec pdp-1----electron----exl 100----fairchild ch. f----famicom disk system----fds----game boy----game master----gb----gba----hgm----intellivision----intv----ms-dos----nes----odyssey----pc----pc-6001----pc88----ps1----ql----sharp mz-700----trs-80----wiiu----wshp----x1----xavx----xbgs----zx spectrum",60836,"Tennis","Tennis----Tennis (<U+30C6><U+30CB><U+30B9>)----Tennis (Lawn Tennis)----Tennis (Tennis Master)----Tennis (TGAME)",1972,"Activision----Atari----Bug-Byte----Exelvision----Fairchild Camera and Instrument----Future Publishing----Heka-Soft----Magnavox----Mattel----Nintendo----Omikron Software----Robtek----Roeske Verlag----Sears----Sinclair Research----Softdisk----Spectrum Computing----SW Corp----Tandy----VTech----Wicked Software----Winters","APh Technological Consulting----Intelligent Systems","Amstrad CPC----Apple IIe----Arcade----Atari 2600----Atari 8-bit----BBC----BK11M----C64----Creativision----DEC PDP-1----Electron----EXL 100----Fairchild Ch. F----Famicom Disk System----Game Boy----Game Master----Intellivision----MS-DOS----NES----Odyssey----PC-6001----QL----Sharp MZ-700----TRS-80----ZX Spectrum",39190,"Tennis","Tennis",1976,"2600----3DSE----CHANF----FDS----GB----GBA----HGM----INTV----NES----PC----PC88----PS1----WIIU----WSHP----X1----XAVX----XBGS",FALSE,TRUE,"BK11M"
"41","Volleyball----1972----Arcade","Brian","Volleyball","volleyball",1972,"1972----1981----1986----1987","Apple IIe----Arcade----Atari 8-bit----BeOS----Famicom Disk System----Linux/Unix----NES----Odyssey","apple iie----arcade----atari 8-bit----beos----famicom disk system----linux/unix----nes----odyssey",67978,"Volleyball","Volleyball----Volleyball (<U+30D0><U+30EC><U+30FC><U+30DC><U+30FC><U+30EB>)",1972,"LosersJuegos----Magnavox----Nintendo----Softside","LosersJuegos----Nintendo----Pax Softnica----Softside","Apple IIe----Arcade----Atari 8-bit----BeOS----Famicom Disk System----Linux/Unix----NES----Odyssey",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"42","Wipe Out----1972----MS-DOS","Kameron","Wipe Out","wipe out",1972,"1972----1989----1990----1995----1996----2014","AMI----Amiga----Amstrad CPC----Linux/Unix----MS-DOS----Odyssey----PC----PS1----PS3N----PSPN----SAT----Saturn----Windows","ami----amiga----amstrad cpc----linux/unix----ms-dos----odyssey----pc----ps1----ps3n----pspn----sat----saturn----windows",69306,"Wipe Out","Wipe Out----Wipeout----WipeOut----WipEout----WipEout (<U+30EF><U+30A4><U+30D7><U+30A2><U+30A6><U+30C8>)",1972,"Cwtch----Glenco Software----Gonzo Games----Magnavox----Psygnosis----Sharedata----Soft Bank","Cwtch----Gonzo Games----Psygnosis","Amiga----Amstrad CPC----Linux/Unix----MS-DOS----Odyssey----PS1----Saturn----Windows",44941,"WipEout","WipEout",1995,"AMI----PC----PS1----PS3N----PSPN----SAT",FALSE,TRUE,"MS-DOS"
"43","Astro Race----1973----Arcade","Kate","Astro Race","astro race",1973,"1973","Arcade","arcade",5200,"Astro Race","Astro Race",1973,"Taito","Taito","Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"44","Barrel-Pong----1973----Arcade","Sam","Barrel-Pong","barrel-pong",1973,"1973","Arcade","arcade",6507,"Barrel-Pong","Barrel-Pong",1973,"Hunter Electronics","Hunter Electronics","Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"45","Cube----1973----Wii","Brian","Cube","cube",1973,"1973----2001----2002----2007----2008----2009","BeOS----iOS----IPHN----LIN----Linux/Unix----MAC----PC----PS3N----PSP----Wii","beos----ios----iphn----lin----linux/unix----mac----pc----ps3n----psp----wii",14803,"Cube","Cube----Cube (Cube: 3D Puzzle Mayhem)",2001,"author----D3----Independent","author----Independent----Media Interactive","BeOS----iOS----Linux/Unix----PSP",9199,"Cube","Cube",1973,"IPHN----LIN----MAC----PC----PS3N----PSP----Wii",FALSE,TRUE,"Wii"
"46","Empire----1973----MicroBee","Kameron","Empire","empire",1973,"1973----1984----1985----1986----1987----1988----2003","Amstrad CPC----C128----DEC PDP-1----Dragon32----Electron----Linux/Unix----MicroBee----OS/2----PLATO----Thomson","amstrad cpc----c128----dec pdp-1----dragon32----electron----linux/unix----microbee----os/2----plato----thomson",20318,"empire","Empire----Empire (Empire Classic)----Empire (Empire Classic;HP Classic Empire;HP Empire Classic;Empire4)----Empire (empire;VMS-Empire)----empire (PLATO Empire)",1973,"Acornsoft----author----Firebird----Goodgame Studios----Loriciels----Shards Software----Superior Software----Team Floogle----University of Illinois","author----Goodgame Studios----Team Floogle","Amstrad CPC----C128----DEC PDP-1----Dragon32----Electron----Linux/Unix----MicroBee----OS/2----PLATO----Thomson",13014,"Empire","Empire",1973,"PLATO",FALSE,TRUE,"MicroBee"
"47","Gotcha----1973----ZX Spectrum","Kate","Gotcha","gotcha",1973,"1973----1983----1992","ARC----Arcade----VIC-20----Win3.1----ZX Spectrum","arc----arcade----vic-20----win3.1----zx spectrum",26080,"Gotcha","Gotcha----Gotcha (Got'cha)",1973,"Atari----Blaby Computer Games----Nibelungen GameWare",NA,"Arcade----VIC-20----Win3.1----ZX Spectrum",16763,"Gotcha","Gotcha",1973,"ARC",FALSE,TRUE,"ZX Spectrum"
