"","copy_col","reviewer","title","flat_title","first_release_year","all_release_year","platform","flat_platform","uv_index","uv_title","uv_raw_title","uv_first_release_year","uv_publisher","uv_developer","uv_platform","gb_index","gb_title","gb_raw_title","gb_first_release_year","gb_platform","is_duplicate","is_sampled","target_platform"
"763","Thingy and the Doodahs----1986----Amstrad CPC","Kate","Thingy and the Doodahs","thingy and the doodahs",1986,"1986----1987","Amstrad CPC----ZX Spectrum","amstrad cpc----zx spectrum",64014,"Thingy and the Doodahs","Thingy and the Doodahs",1986,"Americana Software----Silverbird",NA,"Amstrad CPC----ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"764","Pocket Gal----1987----Arcade","Sam","Pocket Gal","pocket gal",1987,"1987","Arcade","arcade",46574,"Pocket Gal","Pocket Gal",1987,"Data East",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"765","A Question of Scruples----1987----Atari ST","Brian","A Question of Scruples","a question of scruples",1987,"1987","Amstrad CPC----Atari ST----ZX Spectrum","amstrad cpc----atari st----zx spectrum",1605,"A Question of Scruples","A Question of Scruples (Scruples)",1987,"Leisure Genius","Sentient Software","Amstrad CPC----Atari ST----ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"Atari ST"
"766","Pneumatic Hammers----1987----C64","Kameron","Pneumatic Hammers","pneumatic hammers",1987,"1987","Amstrad CPC----C64----ZX Spectrum","amstrad cpc----c64----zx spectrum",46524,"Pneumatic Hammers","Pneumatic Hammers",1987,"Andromeda Software----Firebird",NA,"Amstrad CPC----C64----ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"C64"
"767","Alien Evolution----1987----ZX Spectrum","Kate","Alien Evolution","alien evolution",1987,"1987","ZX Spectrum","zx spectrum",3042,"Alien Evolution","Alien Evolution",1987,"Gremlin Graphics",NA,"ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"ZX Spectrum"
"768","Saracen----1987----APL2","Sam","Saracen","saracen",1987,"1987","A800----Amstrad CPC----APL2----Apple IIe----Atari 8-bit----C64----CPC----SPEC----ZX Spectrum","a800----amstrad cpc----apl2----apple iie----atari 8-bit----c64----cpc----spec----zx spectrum",52189,"Saracen","Saracen",1987,"Datasoft----U.S. Gold",NA,"Amstrad CPC----Apple IIe----Atari 8-bit----C64----ZX Spectrum",33402,"Saracen","Saracen",NA,"A800----APL2----C64----CPC----SPEC",FALSE,TRUE,"APL2"
"769","Over the Top----1987----C64","Brian","Over the Top","over the top",1987,"1987----2006","C64----Xbox","c64----xbox",44317,"Over The Top","Over The Top",1987,"Systems","Pitbull Syndicate","C64----Xbox",28294,"Over the Top","Over the Top",1987,"C64",FALSE,TRUE,"C64"
"770","Tobruk: The Clash of Armour----1987----SPEC","Kameron","Tobruk: The Clash of Armour","tobruk: the clash of armour",1987,"1987","C64----CPC----SPEC","c64----cpc----spec",64631,"Tobruk: The Clash of Armour","Tobruk: The Clash of Armour (Tobruk 1942)",1987,"Datasoft----PSS",NA,"C64",41752,"Tobruk: The Clash of Armour","Tobruk: The Clash of Armour",NA,"C64----CPC----SPEC",FALSE,TRUE,"SPEC"
"771","Elk Attack----1987----Atari 2600","Kate","Elk Attack","elk attack",1987,"1987","Atari 2600","atari 2600",20193,"Elk Attack","Elk Attack",1987,"Atari",NA,"Atari 2600",NA,NA,NA,NA,NA,FALSE,TRUE,"Atari 2600"
"772","Gangplank----1987----ZX Spectrum","Sam","Gangplank","gangplank",1987,"1987","ZX Spectrum","zx spectrum",24730,"Gangplank","Gangplank",1987,"Pirate Software",NA,"ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"ZX Spectrum"
"773","Euphory----1987----Sharp X1","Brian","Euphory","euphory",1987,"1987","Sharp X1----X1","sharp x1----x1",20861,"Euphory","Euphory (<U+30E6><U+30FC><U+30D5><U+30A9><U+30EA><U+30FC>)",1987,"System Sacom",NA,"Sharp X1",13367,"Euphory","Euphory",1987,"X1",FALSE,TRUE,"Sharp X1"
"774","Ide Yosuke Meijin no Jissen Mahjong----1987----NES","Kameron","Ide Yosuke Meijin no Jissen Mahjong","ide yosuke meijin no jissen mahjong",1987,"1987","NES","nes",29637,"Ide Yosuke Meijin no Jissen Mahjong","Ide Yosuke Meijin no Jissen Mahjong (<U+4E95><U+51FA><U+6D0B><U+4ECB><U+540D><U+4EBA><U+306E><U+5B9F><U+6226><U+9EBB><U+96C0>;<U+4E95><U+51FA><U+6D0B><U+4ECB><U+540D><U+4EBA><U+7684><U+5BE6><U+6230><U+9EBB><U+5C07>)",1987,"Capcom","Capcom","NES",19122,"Ide Yosuke Meijin no Jissen Mahjong","Ide Yosuke Meijin no Jissen Mahjong",1987,"NES",FALSE,TRUE,"NES"
"775","The Big Sleeze 3----1987----ZX Spectrum","Kate","The Big Sleeze 3","the big sleeze 3",1987,"1987","ZX Spectrum","zx spectrum",61450,"The Big Sleeze 3","The Big Sleeze 3",1987,"Delta 4----Macmillan",NA,"ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"ZX Spectrum"
"776","Tower of Myraglen----1987----Apple IIGS","Sam","Tower of Myraglen","tower of myraglen",1987,"1987","Apple IIGS","apple iigs",65256,"Tower of Myraglen","Tower of Myraglen",1987,"PBI Software",NA,"Apple IIGS",NA,NA,NA,NA,NA,FALSE,TRUE,"Apple IIGS"
"777","Alternate Sports----1987----Amstrad CPC","Brian","Alternate Sports","alternate sports",1987,"1987","Amstrad CPC","amstrad cpc",3376,"Alternate Sports","Alternate Sports",1987,NA,NA,"Amstrad CPC",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"778","Battlantis----1987----ARC","Kameron","Battlantis","battlantis",1987,"1987","ARC----Arcade----PC----XBGS","arc----arcade----pc----xbgs",6719,"Battlantis","Battlantis (Battle of Atlantis)",1987,"Konami",NA,"Arcade",4203,"Battlantis","Battlantis",1987,"ARC----PC----XBGS",FALSE,TRUE,"ARC"
"779","El Cid----1987----MSX","Kate","El Cid","el cid",1987,"1987","Amstrad CPC----CPC----MSX----SPEC----ZX Spectrum","amstrad cpc----cpc----msx----spec----zx spectrum",20001,"El Cid","El Cid",1987,"Dro Soft----Mastertronic",NA,"Amstrad CPC----MSX----ZX Spectrum",12794,"El Cid","El Cid",NA,"CPC----MSX----SPEC",FALSE,TRUE,"MSX"
"780","Zippy Zombi----1987----Apple IIe","Sam","Zippy Zombi","zippy zombi",1987,"1987","APL2----Apple IIe","apl2----apple iie",71178,"Zippy Zombi","Zippy Zombi",1987,"Uptime Disk Monthly",NA,"Apple IIe",46180,"Zippy Zombi","Zippy Zombi",NA,"APL2",FALSE,TRUE,"Apple IIe"
"781","Otocky----1987----FDS","Brian","Otocky","otocky",1987,"1987","Famicom Disk System----FDS","famicom disk system----fds",44162,"Otocky","Otocky (<U+30AA><U+30C8><U+30C3><U+30AD><U+30FC>)",1987,"ASCII","Sedic","Famicom Disk System",28174,"Otocky","Otocky",1987,"FDS",FALSE,TRUE,"FDS"
"782","Zolyx----1987----ZX Spectrum","Kameron","Zolyx","zolyx",1987,"1987----1988","Amstrad CPC----C16/Plus4----C64----CPC----ZX Spectrum","amstrad cpc----c16/plus4----c64----cpc----zx spectrum",71243,"Zolyx","Zolyx",1987,"Firebird","Lynsoft","Amstrad CPC----C16/Plus4----C64----ZX Spectrum",46205,"Zolyx","Zolyx",NA,"C64----CPC",FALSE,TRUE,"ZX Spectrum"
"783","Advanced Pinball Simulator----1987----Atari 8-bit","Kate","Advanced Pinball Simulator","advanced pinball simulator",1987,"1987----1988----1989","A800----Amstrad CPC----Atari 8-bit----C64----CPC----SPEC----ZX Spectrum","a800----amstrad cpc----atari 8-bit----c64----cpc----spec----zx spectrum",2173,"Advanced Pinball Simulator","Advanced Pinball Simulator----Advanced Pinball Simulator (Flipper Magico)",1988,"Codemasters",NA,"Amstrad CPC----Atari 8-bit----C64----ZX Spectrum",1377,"Advanced Pinball Simulator","Advanced Pinball Simulator",1987,"A800----C64----CPC----SPEC",FALSE,TRUE,"Atari 8-bit"
"784","Trump Aid----1987----PC-8801","Sam","Trump Aid","trump aid",1987,"1987","PC-8801","pc-8801",65954,"Trump Aid","Trump Aid",1987,"Toshiba Emi / Soft Vision",NA,"PC-8801",NA,NA,NA,NA,NA,FALSE,TRUE,"PC-8801"
"785","Rollerboard----1987----C64","Brian","Rollerboard","rollerboard",1987,"1987","C64","c64",51178,"Rollerboard","Rollerboard",1987,"Capital Software----Pirate Software",NA,"C64",NA,NA,NA,NA,NA,FALSE,TRUE,"C64"
"786","Tiger Road 128----1987----ZX Spectrum 128","Kameron","Tiger Road 128","tiger road 128",1987,"1987","ZX Spectrum 128","zx spectrum 128",64239,"Tiger Road 128","Tiger Road 128",1987,"Go!",NA,"ZX Spectrum 128",NA,NA,NA,NA,NA,FALSE,TRUE,"ZX Spectrum 128"
"787","Goindol----1987----ARC","Kate","Goindol","goindol",1987,"1987","ARC----Arcade","arc----arcade",25800,"Goindol","Goindol",1987,"Sun Electronics",NA,"Arcade",16626,"Goindol","Goindol",1987,"ARC",FALSE,TRUE,"ARC"
"788","Xenophobe----1987----2600","Sam","Xenophobe","xenophobe",1987,"1987----1988----1989----1990","2600----7800----AMI----Amiga----Amstrad CPC----ARC----Arcade----AST----Atari 2600----Atari 7800----Atari ST----C64----CPC----Lynx----LYNX----NES----SPEC----ZX Spectrum","2600----7800----ami----amiga----amstrad cpc----arc----arcade----ast----atari 2600----atari 7800----atari st----c64----cpc----lynx----nes----spec----zx spectrum",70219,"Xenophobe","Xenophobe----Xenophobe (<U+30BC><U+30CE><U+30D5><U+30A9><U+30FC><U+30D6>)",1987,"Atari----Bally/Midway----Micro Style----Sunsoft","Blue Sky Software----Midway----SunSoft----Visage Software","Amiga----Amstrad CPC----Arcade----Atari 2600----Atari 7800----Atari ST----C64----Lynx----NES----ZX Spectrum",45585,"Xenophobe","Xenophobe",1987,"2600----7800----AMI----ARC----AST----C64----CPC----LYNX----NES----SPEC",FALSE,TRUE,"2600"
"789","Morita Kazuo no Shogi----1987----NES","Brian","Morita Kazuo no Shogi","morita kazuo no shogi",1987,"1987","NES","nes",NA,NA,NA,NA,NA,NA,NA,25675,"Morita Kazuo no Shogi","Morita Kazuo no Shogi",1987,"NES",FALSE,TRUE,"NES"
"790","Beyond Infinity: Cute To Kill----1987----BBC","Kameron","Beyond Infinity: Cute To Kill","beyond infinity: cute to kill",1987,"1987","BBC","bbc",7583,"Beyond Infinity: Cute To Kill","Beyond Infinity: Cute To Kill",1987,"Power House Software",NA,"BBC",NA,NA,NA,NA,NA,FALSE,TRUE,"BBC"
"791","The Wizard's Warrior----1987----ZX Spectrum","Kate","The Wizard's Warrior","the wizard's warrior",1987,"1987","ZX Spectrum","zx spectrum",63890,"The Wizard's Warrior","The Wizard's Warrior",1987,"Crusader Computing",NA,"ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"ZX Spectrum"
"792","Evening Star----1987----ZX Spectrum","Sam","Evening Star","evening star",1987,"1987----2010","Amstrad CPC----C64----Electron----iOS----ZX Spectrum","amstrad cpc----c64----electron----ios----zx spectrum",20953,"Evening Star","Evening Star----EveningStar",1987,"Divine Robot----Hewson","Divine Robot","Amstrad CPC----C64----Electron----iOS----ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"ZX Spectrum"
"793","Xanthius----1987----ZX Spectrum","Brian","Xanthius","xanthius",1987,"1987","ZX Spectrum","zx spectrum",70133,"Xanthius","Xanthius",1987,"Players",NA,"ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"ZX Spectrum"
"794","Tchernmisland----1987----Amstrad CPC","Kameron","Tchernmisland","tchernmisland",1987,"1987","Amstrad CPC","amstrad cpc",60513,"Tchernmisland","Tchernmisland",1987,"CPC",NA,"Amstrad CPC",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
